query,complexity,task_type,domain,has_code,is_math,optimal_model,rationale
Analyze the potential impact of a 0.25% interest rate hike by the Federal Reserve on the S&P 500 index over the next quarter.,5,analysis,finance,0,0,gpt-4o,Requires deep understanding of economic principles and market dynamics for complex financial analysis.
Translate the medical term 'tachycardia' into common English.,1,translation,medical,0,0,gemini-flash,"A simple, direct translation of a specialized term."
"Summarize the core arguments presented in Roe v. Wade, including the constitutional basis and dissenting opinions.",4,summarization,legal,0,0,gpt-4o,Requires summarizing a complex legal case with multiple viewpoints.
What is the chemical symbol for water?,1,qa,science,0,0,o3-mini,Basic factual recall question about a scientific concept.
Generate a CSS snippet to center a div horizontally using flexbox.,2,code,tech,1,0,gemini-flash,"Common, straightforward code snippet generation."
"The following C++ code for a linked list insertion isn't working as expected. It compiles, but crashes when I try to insert a node at the beginning. What's wrong?
cpp
struct Node {
    int data;
    Node* next;
};

void insertAtBeginning(Node* head, int value) {
    Node* newNode = new Node();
    newNode->data = value;
    newNode->next = head;
    head = newNode; // Problem here
}",4,debugging,tech,1,0,gpt-4o,Debugging a common pointer issue in C++ requires careful code analysis.
"If it is true that all squares are rectangles, and this shape is a square, can you conclude it is also a rectangle?",1,reasoning,general,0,0,gemini-flash,A very basic deductive reasoning task.
"Develop a compelling storyline for a children's book about a shy robot learning to make friends, including key character traits and plot points.",4,creative,education,0,0,gpt-4o,Requires elaborate creative writing and narrative development.
"Based on the provided symptoms (fever, cough, fatigue), what are the three most probable diagnoses?",3,analysis,medical,0,0,gemini-flash,Requires basic diagnostic reasoning based on common symptoms.
"Explain the concept of 'due process' in U.S. law, differentiating between procedural and substantive due process.",3,qa,legal,0,0,gpt-4o,Requires understanding and explaining a nuanced legal concept.
"What does ""Carpe Diem"" mean in English?",1,translation,education,0,0,o3-mini,"Simple, common phrase translation."
Write a simple SQL query to select all transactions from the 'transactions' table where the amount is greater than 1000.,2,code,finance,1,0,gemini-flash,"Basic SQL query generation, a common code task."
Condense a 10-page academic paper on quantum entanglement into a single paragraph for a physics undergraduate.,5,summarization,science,0,0,gpt-4o,Requires high-level comprehension and advanced summarization of complex scientific text.
"Given a set of experimental results showing a positive correlation between caffeine intake and alertness, what is a simple conclusion that can be drawn?",2,reasoning,science,0,0,o3-mini,Simple interpretation of data to draw a conclusion.
"I'm trying to calculate the average score from a list `[85, 90, 78, 92]` but my calculator gives `345/4`. The average should be a single number. What went wrong?",1,debugging,education,0,1,gemini-flash,"Simple debugging of a mathematical calculation, not code."
"Draft a fictional opening statement for a defense attorney in a murder trial, emphasizing reasonable doubt and character portrayal.",5,creative,legal,0,0,gpt-4o,Demands sophisticated creative writing with legal precision and persuasive argumentation.
"Evaluate whether a new over-the-counter pain reliever with ingredient X is likely to be more effective than ibuprofen for mild headaches, based on general pharmacological principles.",3,analysis,medical,0,0,gemini-flash,Requires basic comparative analysis of drug efficacy based on general knowledge.
"Imagine you are a financial advisor from the year 2050. Describe how you would pitch a personalized retirement plan to a millennial, considering futuristic investment opportunities and economic trends.",5,creative,finance,0,0,gpt-4o,"Requires extensive creative thinking, domain expertise, and future forecasting for a detailed scenario."
"Translate 'Hello, how are you?' into Spanish.",1,translation,general,0,0,gemini-flash,"Simple, low-complexity language translation."
Summarize the plot of Shakespeare's 'Hamlet' in 100 words.,2,summarization,education,0,0,gemini-flash,Requires understanding a classic text and concise summarization.
What is the capital city of Australia?,1,qa,general,0,0,o3-mini,A straightforward factual question.
Write a Python script to reverse a string without using built-in reverse functions.,2,code,tech,1,0,gemini-flash,Involves generating simple code for a common programming task.
Fix the syntax error in this C++ code snippet: `int main() { cout << 'Hello world' << endl }`,2,debugging,tech,1,0,o3-mini,Identifying and fixing a clear syntax error in provided code.
"If a person is a professional musician, they can read sheet music. Sarah can read sheet music. Does this mean Sarah is a professional musician? Explain.",3,reasoning,general,0,0,gpt-4o,Requires careful logical deduction to identify a potential fallacy.
Write a sonnet about the beauty of a sunset over the ocean.,3,creative,general,0,0,gpt-4o,Demands poetic creativity following specific structural constraints.
Perform a SWOT analysis for a new electric vehicle startup entering the market.,4,analysis,finance,0,0,gpt-4o,"Involves strategic business analysis, identifying strengths, weaknesses, opportunities, and threats."
What are the key provisions of the GDPR (General Data Protection Regulation) regarding data subject rights?,3,qa,legal,0,0,gemini-flash,Provides factual information from a specific legal framework.
"Explain the process of photosynthesis, including inputs and outputs, for a middle school science class.",3,summarization,science,0,0,gemini-flash,Requires explaining a scientific process clearly and concisely for a specific audience.
Design a curriculum outline for an introductory course on astrophysics for college freshmen.,4,creative,science,0,0,gpt-4o,Involves structuring educational content and learning objectives within a scientific domain.
Translate a complex technical manual section about engine diagnostics from English to Japanese.,5,translation,tech,0,0,gpt-4o,High complexity due to technical jargon and language nuances in translation.
"Given a 2D array representing a maze, write an algorithm (e.g., in pseudocode) to find a path from start to end.",4,code,education,1,0,gpt-4o,"Requires designing a complex algorithm, which can serve an educational purpose."
Analyze the factors contributing to the 2008 global financial crisis and propose policy recommendations to prevent recurrence.,5,analysis,finance,0,0,gpt-4o,"Demands deep historical analysis, economic understanding, and policy formulation."
"Explain the difference between Type 1 and Type 2 diabetes, including symptoms and treatment approaches.",3,qa,medical,0,0,gemini-flash,Provides comparative factual medical information and explanations.
You are given three statements: A is greater than B. C is less than B. Is A greater than C? Use logical deduction.,2,reasoning,education,0,1,o3-mini,Simple logical deduction with quantitative elements.
"Draft a formal complaint letter to a city council regarding excessive noise from a construction site, referencing relevant local ordinances.",4,creative,legal,0,0,gpt-4o,Requires generating a formal document with legal context and persuasive language.
Debug why a machine learning model built with TensorFlow is consistently overfitting on the training data.,4,debugging,tech,0,0,gpt-4o,Involves diagnosing conceptual issues in a complex machine learning system.
Evaluate the potential side effects of a new experimental drug based on its chemical structure and known drug interactions.,5,analysis,medical,0,0,gpt-4o,Requires deep medical and chemical knowledge for risk assessment.
Write a short narrative from the perspective of a single white blood cell fighting an infection in the human body.,4,creative,science,0,0,gemini-flash,Demands imaginative storytelling grounded in biological concepts.
"Calculate the future value of an investment of $5,000 at an annual interest rate of 6% compounded monthly for 10 years.",3,reasoning,finance,0,1,o3-mini,Requires applying a specific financial formula with mathematical calculation.
Summarize the ethical considerations surrounding gene editing technologies like CRISPR-Cas9.,4,summarization,science,0,0,gemini-flash,Requires synthesizing complex ethical and scientific information concisely.
Translate the legal document 'Last Will and Testament' into a simplified explanation suitable for a non-lawyer.,4,translation,legal,0,0,gemini-flash,"Involves simplifying complex legal jargon for a lay audience, a form of semantic translation."
Write a short Java method to check if a given year is a leap year.,2,code,education,1,1,gemini-flash,Requires writing simple code based on mathematical and logical conditions.
"Identify potential drug interactions and contraindications for a patient taking warfarin, considering their existing medication list (e.g., ibuprofen, amiodarone, omeprazole).",4,debugging,medical,0,0,o3-mini,Requires nuanced analysis of medical data to identify harmful interactions.
"Translate the following business memo from English to Spanish: ""The Q3 earnings report will be released next Monday. Please review the financial projections carefully.""",2,translation,finance,0,0,gemini-flash,Requires accurate linguistic conversion for a specific domain.
Analyze the latest advancements in CRISPR gene-editing technology and their potential ethical implications.,4,analysis,science,0,0,gpt-4o,Demands comprehensive scientific understanding and nuanced ethical reasoning.
Summarize the main points of the attached legal document regarding a breach of contract case.,3,summarization,legal,0,0,o3-mini,Requires extracting key information from a dense text without deep interpretation.
"Write a Python function that takes a list of numbers and returns their average, rounded to two decimal places.",2,code,tech,1,0,gemini-flash,Involves straightforward coding for a common numerical task.
"Design a marketing campaign for a new sustainable footwear brand targeting Gen Z, including social media strategies and potential celebrity endorsements.",5,creative,general,0,0,gpt-4o,"Requires high-level creativity, strategic thinking, and understanding of target demographics."
Explain the concept of photosynthesis to a 10-year-old.,2,qa,education,0,0,gemini-flash,Requires simplifying complex information for a specific audience.
What are the common symptoms of seasonal influenza?,1,qa,medical,0,0,o3-mini,Simple factual recall from a medical domain.
Evaluate the logical consistency of Kant's categorical imperative in modern ethical dilemmas.,5,reasoning,general,0,0,gpt-4o,Demands deep philosophical understanding and complex abstract reasoning.
Debug the following JavaScript code snippet which is intended to fetch data from an API but is throwing a CORS error: `fetch('https://api.example.com/data').then(response => response.json()).then(data => console.log(data));`,3,debugging,tech,1,0,gemini-flash,Involves diagnosing a common web development error in provided code.
"Given a set of clinical trial results for a new oncology drug, interpret the statistical significance of the outcomes and suggest next steps for further research.",5,analysis,medical,0,1,gpt-4o,Requires statistical interpretation and critical thinking in a sensitive medical context.
Draft an email to a professor requesting an extension for a term paper due to unforeseen personal circumstances.,2,creative,education,0,0,gemini-flash,Involves generating polite and persuasive text for a common scenario.
"Briefly summarize the plot of ""Pride and Prejudice.""",2,summarization,general,0,0,o3-mini,Requires condensing narrative content effectively.
"Propose a novel solution to mitigate the effects of climate change using advanced AI and materials science, detailing potential challenges and benefits.",5,reasoning,science,0,0,gpt-4o,Demands interdisciplinary knowledge and innovative problem-solving at a high level.
"Convert the following C++ code to Java: `int sum(int a, int b) { return a + b; }`",3,code,tech,1,0,gemini-flash,Involves translating code between two popular programming languages.
Write a compelling closing statement for a fictional defense attorney arguing a complex intellectual property case.,4,creative,legal,0,0,gpt-4o,Requires crafting persuasive legal rhetoric in a creative context.
"Invent a plausible scientific explanation for the existence of parallel universes, including potential ways to detect them.",4,creative,science,0,0,gemini-flash,Requires imaginative and scientifically coherent world-building.
What is the capital of Australia?,1,qa,general,0,0,o3-mini,Simple factual query for general knowledge.
"Analyze the fiscal policy responses of central banks during the 2008 financial crisis and compare them with the COVID-19 pandemic, including the long-term economic impacts.",4,analysis,finance,0,0,gpt-4o,"Requires deep economic knowledge, comparative analysis, and understanding of complex events."
Translate the legal disclaimer section of a software EULA from English to German.,3,translation,legal,0,0,gemini-flash,Involves translating specialized legal text.
"Given the following series: 1, 1, 2, 3, 5, 8, ... what is the 15th term? Explain your reasoning.",3,reasoning,education,0,1,gpt-4o,Requires identifying a mathematical pattern and extending it.
"Summarize the plot and key characters of Shakespeare's ""Hamlet"" in 150 words or less.",2,summarization,education,0,0,gemini-flash,Requires concise summarization of a classic literary work.
"Identify the syntax error in this SQL query: `SELECT name, age FROM Users WHERE age > 25 AND ORDER BY name;`",2,debugging,tech,1,0,o3-mini,Simple identification of a common syntax error in a code snippet.
Develop a comprehensive research proposal for a study investigating the neural correlates of consciousness using fMRI and EEG data.,5,reasoning,science,0,0,gpt-4o,Requires high-level scientific conceptualization and research design skills.
Translate the patient information leaflet about hypertension from English to Arabic.,3,translation,medical,0,0,gemini-flash,Requires accurate medical translation for patient care.
"Write a SQL query to calculate the present value of an annuity of $1,000 per year for 10 years, discounted at an annual rate of 5% from an `Investments` table.",4,code,finance,1,1,gpt-4o,Involves complex financial calculations and SQL code generation.
Translate 'Wie geht es Ihnen?' into English.,1,translation,general,0,0,gemini-flash,Simple translation task for a common phrase.
Summarize the key findings from the latest IPCC report on climate change.,4,summarization,science,0,0,gpt-4o,Requires understanding complex scientific text and extracting salient points.
What are the common symptoms of influenza?,2,qa,medical,0,0,gemini-flash,Straightforward factual recall from a specific domain.
Write a Python function to calculate the Nth Fibonacci number recursively.,3,code,tech,1,0,gpt-4o,Involves understanding algorithms and generating correct code.
Why is the sky blue?,2,qa,science,0,0,gemini-flash,Common knowledge question requiring a clear scientific explanation.
"Correct the error in this SQL query: `SELECT name, age FROM users WHERE age > '18'`",2,debugging,tech,1,0,gemini-flash,Identifies and fixes a common database query syntax or type error.
"Analyze the financial implications of a 0.5% interest rate hike on a $500,000 mortgage over 30 years.",5,analysis,finance,0,1,gpt-4o,Requires complex financial calculations and interpretation of their impact.
Write a short story about a detective solving a mystery in a futuristic city.,4,creative,general,0,0,gpt-4o,Requires imaginative storytelling and adherence to genre conventions.
What are the legal precedents set by the Roe v. Wade decision?,3,qa,legal,0,0,gemini-flash,Factual recall of significant legal history and its implications.
Generate five unique business ideas for an eco-friendly pet supply company.,3,creative,general,0,0,o3-mini,Requires ideation and creativity within specified constraints.
How does photosynthesis work?,2,qa,science,0,0,gemini-flash,Explaining a fundamental biological process.
Summarize the plot of Shakespeare's 'Hamlet' in 150 words.,3,summarization,education,0,0,gpt-4o,Requires condensing a complex narrative while maintaining key details.
Find the derivative of f(x) = x^3 + 2x - 5.,2,reasoning,education,0,1,gemini-flash,Straightforward application of calculus rules.
Explain the concept of 'negligence' in tort law with an example.,3,reasoning,legal,0,0,gpt-4o,Requires explaining a legal concept and providing a relevant illustrative example.
Refactor this Java code snippet to improve its readability and performance: [provided Java code block with nested loops and redundant calculations].,4,debugging,tech,1,0,gpt-4o,Involves deep understanding of code structure and optimization techniques.
Design a simple responsive navigation bar using HTML and CSS.,3,code,tech,1,0,gemini-flash,Requires generating functional web development code from a specification.
Analyze the ethical implications of using AI in medical diagnosis without human oversight.,5,analysis,medical,0,0,gpt-4o,Involves nuanced ethical reasoning and consideration of complex societal impacts.
Translate a technical manual for a quantum computer from English to German.,5,translation,tech,0,0,gpt-4o,Requires highly accurate and context-aware translation of complex technical jargon.
Forecast the stock price of Apple (AAPL) for the next quarter based on its historical performance and recent news.,5,analysis,finance,0,1,o3-mini,"Requires complex data analysis, financial modeling, and speculative forecasting."
Draft a formal email to a professor requesting an extension for an assignment.,2,creative,education,0,0,gemini-flash,Simple task of generating a polite and structured communication.
"What are the common side effects of chemotherapy, and how can they be managed?",3,qa,medical,0,0,gemini-flash,Requires comprehensive medical information retrieval and advice on management.
Explain the legal concept of 'mens rea' in criminal law.,3,reasoning,legal,0,0,o3-mini,Requires precise explanation of a specific legal principle.
"Calculate the total profit if a company sells 1500 units at $25 each, with production costs of $10 per unit and fixed costs of $5000.",2,reasoning,finance,0,1,o3-mini,Involves basic arithmetic and simple business calculations.
"Translate ""How are you doing today?"" into Spanish.",1,translation,general,0,0,gemini-flash,A straightforward phrase translation requires minimal computational resources.
"Summarize the main points of the attached research paper on quantum entanglement for a high school student, focusing on the core concepts and implications.",3,summarization,science,0,0,gpt-4o,Requires understanding complex scientific text and simplifying it for a specific audience.
"Write a Python function that takes a list of numbers and returns their average, handling potential empty lists gracefully.",2,code,tech,1,0,gemini-flash,Generating a basic utility function in a common language is a moderate coding task.
Debug the following Java code snippet which is causing a NullPointerException due to an uninitialized object: `public String getName(User user) { return user.profile.name; }`,3,debugging,tech,1,0,gpt-4o,Requires code analysis and understanding potential runtime issues to suggest a fix.
"If all ravens are black, and I see a non-black bird, can I conclude it is not a raven? Explain your reasoning using deductive logic.",3,reasoning,general,0,0,gpt-4o,Involves logical deduction and requires clear explanation of conditional statements.
"Write a short, optimistic poem about the first human colony on Mars, capturing a sense of hope and pioneering spirit.",4,creative,science,0,0,gpt-4o,"Creative writing, especially poetry with a specific theme and tone, benefits from advanced generative models."
"Analyze the quarterly financial report of company XYZ, focusing on revenue growth, profit margins, and future outlook based on management commentary, providing a brief investment recommendation.",4,analysis,finance,0,0,gpt-4o,Requires in-depth understanding of financial statements and the ability to synthesize complex information.
"Explain the concept of photosynthesis to a 10-year-old, using simple analogies and avoiding complex scientific jargon.",2,qa,science,0,0,gemini-flash,Explaining a scientific concept simply for a younger audience is a common task.
"What are the key differences between common law and civil law legal systems, and how do they impact judicial decision-making?",3,qa,legal,0,0,gpt-4o,Requires detailed comparative analysis of legal frameworks and their practical implications.
"Design a lesson plan for teaching basic fractions to 3rd graders, including objectives, activities, and assessment methods.",4,creative,education,0,1,o3-mini,"While creative, a structured lesson plan for basic concepts can be generated by a capable smaller model."
"How would you approach refactoring a large legacy codebase written in C# to improve modularity, testability, and adherence to modern design patterns?",5,analysis,tech,1,0,gpt-4o,"Requires deep architectural understanding, strategic planning, and experience with code quality improvements."
"Translate this medical report abstract from English to German, ensuring accurate terminology: ""The study investigated the efficacy of a new drug for hypertension in a randomized, double-blind, placebo-controlled trial.""",2,translation,medical,0,0,gemini-flash,A specific domain translation of a clear scientific sentence is manageable for a capable model.
"Identify the grammatical errors in the following sentence: ""He don't usually goes to the store on Sundays, he prefer stay home.""",1,debugging,general,0,0,o3-mini,Simple grammatical error identification is a basic language understanding task.
"Calculate the future value of an investment of $10,000 at an annual interest rate of 5% compounded annually over 10 years, showing the formula used.",2,reasoning,finance,0,1,o3-mini,A straightforward financial calculation following a known formula.
"Summarize the key findings from a clinical trial report on a new Alzheimer's treatment, highlighting statistical significance, potential side effects, and the limitations of the study.",4,summarization,medical,0,0,gpt-4o,Requires extracting and synthesizing critical information from complex medical literature.
"Generate a detailed proposal for a new online learning platform targeting adult learners seeking professional development in AI, including market analysis, feature set, and monetization strategy.",5,creative,education,0,0,gpt-4o,"Requires extensive ideation, structural planning, and detailed content generation for a complex business proposal."
Explain why legal precedents are important in common law jurisdictions and provide an example of how they are applied.,3,qa,legal,0,0,gemini-flash,Requires explaining a fundamental legal concept with supporting reasoning and an example.
Refactor this JavaScript code to use async/await for better readability and error handling: `fetch('/api/data').then(response => response.json()).then(data => console.log(data)).catch(error => console.error(error));`,3,debugging,tech,1,0,gemini-flash,"Involves modifying existing code for modern asynchronous patterns, a common development task."
"Evaluate the ethical implications of using facial recognition technology in public surveillance systems, considering privacy, bias, and potential misuse.",4,analysis,tech,0,0,o3-mini,Requires nuanced ethical reasoning and consideration of societal impacts for a well-defined topic.
Write a short story (approx. 500 words) about a detective solving a complex missing person mystery in a futuristic cyberpunk city with advanced AI and cybernetic enhancements.,4,creative,general,0,0,o3-mini,Requires creative storytelling with genre-specific elements and moderate length.
"Translate the philosophical concept of 'Cogito, ergo sum' into modern, accessible English and explain its significance in Descartes' philosophy.",3,translation,education,0,0,gemini-flash,Involves translating a Latin phrase and then providing context and philosophical explanation.
Provide a legal opinion on the potential copyright infringement of an AI-generated artwork that was trained on a dataset containing existing copyrighted images without explicit permission.,5,reasoning,legal,0,0,gpt-4o,Requires complex legal reasoning and application of copyright law to emerging technological scenarios.
"Summarize the plot of Shakespeare's ""Romeo and Juliet"" in under 150 words, highlighting the main characters and key tragic events.",2,summarization,education,0,0,gemini-flash,A straightforward text summarization task for a well-known literary work with specific constraints.
"Write a simple SQL query to retrieve patient IDs, their first names, and their last visit dates from a 'patients' table, ordered by last visit date descending.",2,code,medical,1,0,gemini-flash,"Generating a basic database query for structured medical data is a common, low-to-medium complexity task."
Translate 'How are you doing today?' into Spanish.,1,translation,general,0,0,gemini-flash,Simple phrase translation is a low-complexity task.
"Summarize the key findings from the latest IPCC report on climate change, focusing on actionable recommendations.",3,summarization,science,0,0,gpt-4o,Summarizing a complex scientific report requires advanced understanding and synthesis.
What are the primary symptoms of appendicitis and how is it typically diagnosed?,2,qa,medical,0,0,gemini-flash,A straightforward medical information retrieval query.
"Debug the following JavaScript code snippet: 'function sum(a,b) { return a + b } sum(5, '2');'. Explain why it returns '52'.",3,debugging,tech,1,0,gpt-4o,Debugging and explaining type coercion in JavaScript requires understanding language behavior.
"A detective has three suspects for a theft: Alex, Ben, and Chloe. Alex says Ben is guilty. Ben says Chloe is guilty. Chloe says Alex is lying. If only one person is telling the truth, who is guilty?",4,reasoning,general,0,0,gpt-4o,This logic puzzle requires careful step-by-step conditional reasoning.
"Draft a short, whimsical story about a squirrel who discovers a magical acorn that grants wishes.",3,creative,general,0,0,gpt-4o,Generating a creative narrative requires imaginative text generation capabilities.
Analyze the pros and cons of implementing a four-day work week in the education sector.,4,analysis,education,0,0,gpt-4o,Requires balanced evaluation of complex social and economic factors in education.
What is the current exchange rate between USD and EUR?,1,qa,finance,0,0,gemini-flash,A simple fact-retrieval query requiring real-time information access.
Write a regex pattern to validate email addresses.,2,code,tech,1,0,gemini-flash,Generating a common regex pattern is a standard coding utility task.
How do you handle objections during a sales presentation for a new B2B software product?,3,reasoning,general,0,0,gpt-4o,Requires strategic thinking and advice generation for a common business scenario.
Compose a haiku about a rainy autumn day.,1,creative,general,0,0,o3-mini,A simple creative writing task following strict structural constraints.
Critique the legal arguments presented in Roe v. Wade and its subsequent overturning in Dobbs v. Jackson Women's Health Organization.,5,analysis,legal,0,0,gpt-4o,Requires deep legal expertise and nuanced analysis of landmark constitutional cases.
"Calculate the present value of an annuity with annual payments of $5,000 for 10 years, assuming a discount rate of 6%.",3,reasoning,finance,0,1,gemini-flash,Requires financial formula application and explicit mathematical calculation.
Explain the concept of 'force majeure' in contract law and provide an example scenario.,3,qa,legal,0,0,gemini-flash,Requires understanding and explaining a specific legal concept with an example.
"Convert the following C++ code to Java: '#include <iostream> int main() { std::cout << 'Hello, World!'; return 0; }'",2,translation,tech,1,0,gemini-flash,Translating simple code between common languages is a straightforward task.
Summarize the history of Roman gladiatorial games in 200 words or less.,2,summarization,education,0,0,o3-mini,Condensing historical information within a word limit is a routine summarization task.
"Given the following medical chart summary, identify potential drug interactions: [chart summary text including medications].",4,analysis,medical,0,0,gpt-4o,Requires complex medical analysis and inference from patient data.
Write an academic essay outlining the philosophical implications of artificial intelligence on human consciousness.,5,creative,education,0,0,gpt-4o,Requires deep philosophical understanding and high-level essay writing skills.
Translate a complex paragraph from a German astrophysics paper into English.,3,translation,science,0,0,o3-mini,Translating complex scientific text requires specialized vocabulary and accuracy.
Summarize the key market trends impacting the global semiconductor industry from the past quarter's financial reports.,3,summarization,finance,0,0,gemini-flash,Extracting and summarizing key financial trends is a common business task.
Write a simple Python script to calculate the roots of a quadratic equation (ax^2 + bx + c = 0).,2,code,science,1,1,o3-mini,Generating code for a basic mathematical formula is a common programming task.
Identify the error in this SQL query for patient records: 'SELECT * FROM patients WHERE age = '30' AND diagnosis = 'Flu';'. Explain potential issues with data types.,2,debugging,medical,1,0,gemini-flash,Debugging a simple SQL query for common data type issues is low complexity.
Review this draft legal contract for any obvious formatting or grammatical errors.,2,debugging,legal,0,0,o3-mini,Spotting basic errors in a document is a routine debugging task.
"Translate ""Hello, how are you?"" into Spanish.",1,translation,general,0,0,gemini-flash,Simple language translation is a basic function requiring low complexity.
Summarize the main points of a 1000-word article about renewable energy sources.,3,summarization,science,0,0,gpt-4o,"Condensing a medium-length article requires understanding and synthesis, best handled by a more capable model."
Write a Python function to calculate the factorial of a given number recursively.,2,code,tech,1,0,gemini-flash,Generating a common recursive function is a straightforward coding task.
"Identify the bug in this JavaScript code snippet: `function sum(a, b) { return a - b; }`",1,debugging,tech,1,0,gemini-flash,This is a trivial bug detection task.
"If all A are B, and all B are C, what can be concluded about A and C?",2,reasoning,general,0,0,o3-mini,Simple logical deduction can be handled efficiently by a smaller model.
Translate 'Je ne sais quoi' into English.,1,translation,general,0,0,o3-mini,Simple idiomatic translation is a basic function.
